,Root,SearchRoot,Parents,Meanings,SearchMeanings,Lang,Clade_Count,Hellenic,Anatolian,Balto-Slavic,Germanic,Albanian,Italic,Celtic,Armenian,Tocharian,Indo-Iranic
0,bak-, bak- ,['none'],"peg, club"," peg, club ",ine-pro,5,1,0,1,1,0,1,1,0,0,0
1,bokъ, bokъ ,['bak-'],flank, flank ,sla-pro,1,0,0,1,0,0,0,0,0,0,0
2,bakas, bakas ,['bak-'],"peg, club"," peg, club ",ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
3,bakos, bakos ,['bak-'],"peg, club"," peg, club ",ine-pro,1,0,0,1,0,0,0,0,0,0,0
4,bakkos, bakkos ,['bak-'],hook, hook ,cel-pro,1,0,0,0,0,0,0,1,0,0,0
5,bakkos, bakkos ,['bak-'],"peg, club"," peg, club ",ine-pro,1,0,0,0,0,0,0,1,0,0,0
6,bàkstelėti, bàkstelėti ,['bak-'],to thrust, to thrust ,lt,1,0,0,1,0,0,0,0,0,0,0
7,bakstīt, bakstīt ,['bak-'],to poke, to poke ,lv,1,0,0,1,0,0,0,0,0,0,0
8,baksḱ-, baksḱ- ,['bak-'],"peg, club"," peg, club ",ine-pro,1,0,0,1,0,0,0,0,0,0,0
9,βάκτρον, βάκτρον ,['bak-'],"peg, club"," peg, club ",grc,1,1,0,0,0,0,0,0,0,0,0
10,"baktrom, baktlom", baktrom | baktlom ,['bak-'],"peg, club"," peg, club ",ine-pro,1,1,0,0,0,0,0,0,0,0,0
11,baculum, baculum ,['bak-'],"peg, club"," peg, club ",la,1,0,0,0,0,0,1,0,0,0,0
12,bakklom, bakklom ,['bak-'],"peg, club"," peg, club ",itc-pro,1,0,0,0,0,0,1,0,0,0,0
13,bak(t)lo-, bak(t)lo- | baktlo- | baklo- ,['bak-'],"peg, club"," peg, club ",ine-pro,1,0,0,0,0,0,1,0,0,0,0
14,pagilaz, pagilaz ,['bak-'],"peg, club"," peg, club ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
15,pagjō, pagjō ,['bak-'],"peg, club"," peg, club ",gem-pro,1,0,0,0,1,0,0,0,0,0,0
16,bakyéh₂, bakyéh₂ ,['bak-'],"peg, club"," peg, club ",ine-pro,1,0,0,0,1,0,0,0,0,0,0
17,bʰardʰéh₂, bʰardʰéh₂ ,['none'],beard, beard ,ine-pro,3,0,0,1,1,0,1,0,0,0,0
18,bardā́ˀtas, bardā́ˀtas ,['bʰardʰéh₂'],beard, beard ,ine-bsl-pro,1,0,0,1,0,0,0,0,0,0,0
19,barbātus, barbātus ,['bʰardʰéh₂'],beard, beard ,la,1,0,0,0,0,0,1,0,0,0,0
